function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,13500512614,19747,85190,8,20,1004,30
mont64_run,2,78469150,45,350,2,2,302,2
crc_32_run,3,56063114,153,166,1,1,247,1
libedn_run,4,50489231,105,438,7,6,320,10
libminver_run,5,7790437,11,35,1,0,3,0
nbody_run,5,721289,0,4,0,0,2,0
libhuffbench_run,4,35620867,166,134,0,0,5,4
nettle_aes_run,5,23121364,41,49,0,0,1,3
nettle_sha256_run,5,12640277,5,34,0,0,1,0
basicmath_small_run,3,103251371,210,948,3,0,172,18
matmult_int_run,4,77483786,145,1058,0,0,9,3
libsichneu_run,5,18691789,26,16874,0,1,26,1
libpicojpeg_test_run,5,28851234,11,1022,0,0,1,0
md5_run,4,72073930,47,344,1,3,243,21
primecount_run,5,26868533,1,19,0,0,0,0
qrtest_run,5,22324945,6,111,0,0,1,0
combined_run,2,41128780,58,337,0,1,149,4
libslre_run,3,37198043,124,191,3,2,212,2
libstatemate_run,4,6485896,18,58,0,0,0,1
tarfind_run,4,6604625,27,8,0,0,0,3
libst_run,3,36895664,60,198,1,3,234,18
libud_run,4,29681114,2,11,0,0,1,0
libwikisort_run,4,4371015,1,12,0,0,0,0
mont64_run,2,78482721,52,327,0,0,3,4
crc_32_run,3,56054790,143,174,0,0,2,7
libedn_run,4,50352493,38,110,0,0,2,3
libminver_run,5,7683416,12,34,0,0,0,1
nbody_run,5,721021,0,2,0,0,0,0
libhuffbench_run,4,35621942,163,134,0,0,3,4
nettle_aes_run,5,23121377,33,58,0,0,0,1
nettle_sha256_run,5,12642844,2,34,0,0,0,1
basicmath_small_run,3,103242122,197,889,0,0,8,5
matmult_int_run,4,77485101,116,1048,0,0,0,0
libsichneu_run,5,18623867,15,17305,0,0,2,0
libpicojpeg_test_run,5,28852336,1,999,0,0,0,0
md5_run,4,72053888,32,351,0,0,1,1
primecount_run,5,26868832,2,8,0,0,0,0
qrtest_run,5,22321065,8,134,0,0,0,0
combined_run,2,41130610,87,374,0,0,1,2
libslre_run,3,37174708,127,155,0,0,1,5
libstatemate_run,4,6482870,4,57,0,0,0,0
tarfind_run,4,6603487,13,0,0,0,0,0
libst_run,3,36961169,63,163,0,0,8,2
libud_run,4,29754543,3,15,0,0,0,0
libwikisort_run,4,4372245,0,11,0,0,0,0
mont64_run,2,78494370,42,319,0,0,0,0
crc_32_run,3,56051923,150,159,0,0,0,0
libedn_run,4,50411572,24,107,0,0,0,1
libminver_run,5,7742872,12,25,0,0,0,0
nbody_run,5,721152,0,2,0,0,0,0
libhuffbench_run,4,35620148,185,161,0,0,2,0
nettle_aes_run,5,23120890,36,53,0,0,0,0
nettle_sha256_run,5,12637930,0,29,0,0,0,0
basicmath_small_run,3,103250161,103,936,0,0,4,0
matmult_int_run,4,77482944,135,1038,0,0,0,0
libsichneu_run,5,18663861,16,17209,0,0,1,0
libpicojpeg_test_run,5,28850822,13,1006,0,0,0,0
md5_run,4,72062760,43,366,0,0,1,1
primecount_run,5,26867967,7,8,0,0,0,0
qrtest_run,5,22331117,1,116,0,0,0,0
combined_run,2,41123086,61,345,0,0,0,0
libslre_run,3,37191065,126,186,0,0,0,0
libstatemate_run,4,6482427,5,33,0,0,0,0
tarfind_run,4,6604020,37,16,0,0,0,0
libst_run,3,36872450,68,155,0,0,1,0
libud_run,4,29666917,5,16,0,0,0,0
libwikisort_run,4,4371582,17,23,0,0,0,0
mont64_run,2,78469077,49,335,0,0,1,0
crc_32_run,3,56040824,129,155,0,0,0,0
libedn_run,4,50379512,46,128,0,0,2,0
libminver_run,5,7707819,10,34,0,0,0,0
nbody_run,5,721249,0,2,0,0,0,0
libhuffbench_run,4,35607401,172,152,0,0,0,1
nettle_aes_run,5,23131304,55,50,0,0,1,0
nettle_sha256_run,5,12628262,3,41,0,0,0,0
basicmath_small_run,3,103246786,156,928,0,0,9,1
matmult_int_run,4,77482428,136,1069,0,0,0,0
libsichneu_run,5,18698179,17,16703,0,0,1,0
libpicojpeg_test_run,5,28849930,6,1035,0,0,0,0
md5_run,4,72060822,32,337,0,0,0,0
primecount_run,5,26867922,0,8,0,0,0,0
qrtest_run,5,22328835,1,119,0,0,0,0
combined_run,2,41126259,75,347,0,0,0,1
libslre_run,3,37184127,127,175,0,0,1,2
libstatemate_run,4,6482887,9,44,0,0,0,1
tarfind_run,4,6604806,15,8,0,0,0,0
libst_run,3,36900289,43,147,0,0,3,0
libud_run,4,29694237,11,14,0,0,0,0
libwikisort_run,4,4372141,5,17,0,0,0,0
mont64_run,2,78475837,52,358,0,0,1,0
crc_32_run,3,56037976,126,172,0,0,0,0
libedn_run,4,50404547,28,101,0,0,0,0
libminver_run,5,7732864,12,46,0,0,0,0
nbody_run,5,721397,0,2,0,0,0,0
libhuffbench_run,4,35605595,154,147,0,0,0,0
nettle_aes_run,5,23131279,52,34,0,0,0,0
nettle_sha256_run,5,12626053,4,21,0,0,0,0
basicmath_small_run,3,103246979,140,891,0,0,0,0
matmult_int_run,4,77484549,133,1031,0,0,0,0
libsichneu_run,5,18662738,15,17466,0,0,1,0
libpicojpeg_test_run,5,28851535,17,982,0,0,0,0
md5_run,4,72057647,31,329,0,0,2,0
primecount_run,5,26867322,0,9,0,0,0,0
qrtest_run,5,22327020,3,156,0,0,0,0
combined_run,2,41134843,95,368,0,0,2,0
libslre_run,3,37180165,134,175,0,0,0,0
libstatemate_run,4,6482986,13,69,0,0,1,0
tarfind_run,4,6604034,15,9,0,0,0,0
libst_run,3,36884994,42,165,0,0,0,0
libud_run,4,29680298,2,18,0,0,0,0
libwikisort_run,4,4371586,16,16,0,0,0,0
mont64_run,2,78497311,45,329,0,0,1,0
crc_32_run,3,56056043,134,161,0,0,0,0
libedn_run,4,50413167,26,129,0,0,0,0
libminver_run,5,7744010,8,36,0,0,0,0
nbody_run,5,721013,0,2,0,0,0,0
libhuffbench_run,4,35623736,228,166,0,0,0,0
nettle_aes_run,5,23121715,59,58,0,0,0,0
nettle_sha256_run,5,12641794,4,42,0,0,0,0
basicmath_small_run,3,103248163,128,965,0,0,1,0
matmult_int_run,4,77484701,115,1022,0,0,0,0
libsichneu_run,5,18624220,5,17347,0,0,0,0
libpicojpeg_test_run,5,28852480,9,990,0,0,0,0
md5_run,4,72055873,24,327,0,0,0,0
primecount_run,5,26868044,6,12,0,0,0,0
qrtest_run,5,22325618,8,170,0,0,0,0
combined_run,2,41129229,73,348,0,0,0,0
libslre_run,3,37170346,125,204,0,0,0,0
libstatemate_run,4,6482522,6,37,0,0,0,0
tarfind_run,4,6603452,22,17,0,0,0,0
libst_run,3,36901651,41,143,0,0,0,0
libud_run,4,29696605,16,9,0,0,0,0
libwikisort_run,4,4371617,9,14,0,0,0,0
mont64_run,2,78503006,50,326,0,0,5,0
crc_32_run,3,56067538,129,161,0,0,0,0
libedn_run,4,50416169,38,122,0,0,0,0
libminver_run,5,7743845,11,28,0,0,0,0
nbody_run,5,721401,0,2,0,0,0,0
libhuffbench_run,4,35635319,183,153,0,0,0,0
nettle_aes_run,5,23125165,43,52,0,0,1,0
nettle_sha256_run,5,12650012,6,27,0,0,0,0
basicmath_small_run,3,103242394,161,1004,0,0,0,0
matmult_int_run,4,77479484,149,998,0,0,0,0
libsichneu_run,5,18622604,11,17249,0,0,0,0
libpicojpeg_test_run,5,28847039,12,964,0,0,0,0
md5_run,4,72057026,39,341,0,0,0,0
primecount_run,5,26866859,2,7,0,0,0,0
qrtest_run,5,22325741,2,148,0,0,0,0
combined_run,2,41129955,80,332,0,0,4,0
libslre_run,3,37179055,120,173,0,0,1,0
libstatemate_run,4,6484055,20,66,0,0,0,0
tarfind_run,4,6600750,29,7,0,0,0,0
libst_run,3,36917987,66,157,0,0,0,0
libud_run,4,29712424,1,18,0,0,0,0
libwikisort_run,4,4371690,10,28,0,0,0,0
mont64_run,2,78487695,47,333,0,0,1,0
crc_32_run,3,56049745,138,170,0,0,0,0
libedn_run,4,50397303,51,132,0,0,0,0
libminver_run,5,7728399,9,34,0,0,0,0
nbody_run,5,721325,0,2,0,0,0,0
libhuffbench_run,4,35616088,169,141,0,0,0,0
nettle_aes_run,5,23121214,49,59,0,0,2,0
nettle_sha256_run,5,12632490,6,40,0,0,0,0
basicmath_small_run,3,103244082,156,985,0,0,0,0
matmult_int_run,4,77482085,113,1069,0,0,0,0
libsichneu_run,5,18667280,8,17613,0,0,0,0
libpicojpeg_test_run,5,28849572,6,1021,0,0,0,0
md5_run,4,72056878,34,332,0,0,0,0
primecount_run,5,26868811,0,10,0,0,0,0
qrtest_run,5,22325251,2,162,0,0,0,0
combined_run,2,41129643,73,378,0,0,0,0
libslre_run,3,37179998,128,175,0,0,0,0
libstatemate_run,4,6483585,15,62,0,0,0,0
tarfind_run,4,6602469,18,12,0,0,0,0
libst_run,3,36912428,37,152,0,0,0,0
