function-id,function-lvl,cpu-cycles,event-0,event-1,event-2,event-3,event-4,event-5
embench_func,1,9019712592,19617,82117,10,22,1003,106
mont64_run,2,52382024,61,346,2,3,288,3
crc_32_run,3,37671392,160,185,2,0,259,4
libedn_run,4,33746038,107,418,5,5,316,11
libminver_run,5,5187302,12,39,0,0,5,0
nbody_run,5,480783,0,6,0,0,1,0
libhuffbench_run,4,23746755,190,124,0,0,5,8
nettle_aes_run,5,15417571,29,44,0,0,0,0
nettle_sha256_run,5,8428959,10,32,0,0,0,0
basicmath_small_run,3,68984068,163,929,2,0,170,40
matmult_int_run,4,51659289,112,774,0,0,10,4
libsichneu_run,5,12420489,14,11645,0,0,31,1
libpicojpeg_test_run,5,19237366,9,739,0,0,2,0
md5_run,4,51492887,33,329,1,3,242,23
primecount_run,5,17891155,3,22,0,0,0,2
qrtest_run,5,14871316,5,138,0,0,2,0
combined_run,2,27468711,55,310,0,2,151,10
libslre_run,3,24810162,124,182,3,2,219,19
libstatemate_run,4,4322060,7,33,0,0,1,0
tarfind_run,4,4401507,25,7,0,0,0,1
libst_run,3,25139765,61,199,2,3,218,35
libud_run,4,19831215,7,8,0,0,0,0
libwikisort_run,4,2914250,6,20,0,0,1,0
mont64_run,2,52369711,55,345,0,0,12,2
crc_32_run,3,37666336,113,161,0,0,0,3
libedn_run,4,33700076,36,124,0,0,4,3
libminver_run,5,5170146,8,15,0,0,0,0
nbody_run,5,480814,0,5,0,0,0,0
libhuffbench_run,4,23753143,195,135,0,0,1,5
nettle_aes_run,5,15414135,43,38,0,0,0,2
nettle_sha256_run,5,8428632,8,44,0,0,0,0
basicmath_small_run,3,68983830,122,904,0,0,3,9
matmult_int_run,4,51660512,108,745,0,0,1,3
libsichneu_run,5,12498092,20,11858,0,0,2,1
libpicojpeg_test_run,5,19238342,5,716,0,0,0,0
md5_run,4,51480267,25,355,0,0,1,0
primecount_run,5,17891103,6,8,0,0,0,0
qrtest_run,5,14876182,3,115,0,0,0,0
combined_run,2,27455433,78,328,0,0,0,0
libslre_run,3,24804549,127,189,0,0,1,4
libstatemate_run,4,4321723,11,42,0,0,1,0
tarfind_run,4,4401672,15,1,0,0,0,0
libst_run,3,25109113,50,171,0,0,5,4
libud_run,4,19809434,7,13,0,0,0,0
